sample_date,sampler_name,project_type,broad_location,total_Cl2_mg.L,free_Cl2_mg.L,site,water_age_h
1/3/18,DWDS_F,Full_Scale,DWDS_F,0.94,0.76,site_24,289.38
4/18/18,DWDS_F,Full_Scale,DWDS_F,1.41,1.12,site_24,289.38
8/1/17,DWDS_F,Full_Scale,DWDS_F,1.59,NA,site_11,52.5
8/1/17,DWDS_F,Full_Scale,DWDS_F,1.28,NA,site_8,34.97
8/1/17,DWDS_F,Full_Scale,DWDS_F,3.1,NA,site_14,70
8/1/17,DWDS_F,Full_Scale,DWDS_F,1.16,NA,site_9,50.07
8/1/17,DWDS_F,Full_Scale,DWDS_F,1.82,NA,site_12,56.88
3/20/18,DWDS_F,Full_Scale,DWDS_F,0.39,NA,site_15,70
8/1/17,DWDS_F,Full_Scale,DWDS_F,1.55,NA,site_10,50.61
8/1/17,DWDS_F,Full_Scale,DWDS_F,3,NA,site_17,70
8/1/17,DWDS_F,Full_Scale,DWDS_F,1.9,NA,site_13,64.36
8/1/17,DWDS_F,Full_Scale,DWDS_F,1.89,NA,site_1,19.35
8/1/17,DWDS_F,Full_Scale,DWDS_F,0.19,NA,site_7,34.69
8/1/17,DWDS_F,Full_Scale,DWDS_F,1.65,NA,site_6,34.06
8/2/17,DWDS_F,Full_Scale,DWDS_F,1.72,NA,site_19,131.08
8/2/17,DWDS_F,Full_Scale,DWDS_F,1.78,NA,site_5,28.98
8/2/17,DWDS_F,Full_Scale,DWDS_F,1.4,NA,site_18,78.9
8/2/17,DWDS_F,Full_Scale,DWDS_F,1.06,NA,site_22,206.3
8/2/17,DWDS_F,Full_Scale,DWDS_F,1.02,NA,site_23,234.39
8/2/17,DWDS_F,Full_Scale,DWDS_F,0.8,NA,site_24,289.38
8/2/17,DWDS_F,Full_Scale,DWDS_F,0.83,NA,site_21,192.61
8/2/17,DWDS_F,Full_Scale,DWDS_F,1.53,NA,site_20,163.92
8/2/17,DWDS_F,Full_Scale,DWDS_F,2.04,NA,site_3,23.31
8/8/17,DWDS_F,Full_Scale,DWDS_F,1.79,NA,site_11,52.5
8/8/17,DWDS_F,Full_Scale,DWDS_F,1.22,NA,site_8,34.97
8/8/17,DWDS_F,Full_Scale,DWDS_F,2.8,NA,site_14,70
8/8/17,DWDS_F,Full_Scale,DWDS_F,1.05,NA,site_9,50.07
8/8/17,DWDS_F,Full_Scale,DWDS_F,1.27,NA,site_12,56.88
3/13/18,DWDS_F,Full_Scale,DWDS_F,0.44,NA,site_15,70
8/8/17,DWDS_F,Full_Scale,DWDS_F,1.77,NA,site_10,50.61
8/8/17,DWDS_F,Full_Scale,DWDS_F,2.8,NA,site_17,70
8/8/17,DWDS_F,Full_Scale,DWDS_F,1.7,NA,site_13,64.36
8/8/17,DWDS_F,Full_Scale,DWDS_F,2.01,NA,site_1,19.35
8/8/17,DWDS_F,Full_Scale,DWDS_F,0.12,NA,site_7,34.69
8/8/17,DWDS_F,Full_Scale,DWDS_F,1.91,NA,site_6,34.06
8/9/17,DWDS_F,Full_Scale,DWDS_F,1.34,NA,site_19,131.08
8/9/17,DWDS_F,Full_Scale,DWDS_F,1.74,NA,site_5,28.98
8/9/17,DWDS_F,Full_Scale,DWDS_F,3.1,NA,site_14,70
8/9/17,DWDS_F,Full_Scale,DWDS_F,2.3,NA,site_18,78.9
8/9/17,DWDS_F,Full_Scale,DWDS_F,1.01,NA,site_22,206.3
8/9/17,DWDS_F,Full_Scale,DWDS_F,1.48,NA,site_23,234.39
8/9/17,DWDS_F,Full_Scale,DWDS_F,1.47,NA,site_24,289.38
8/9/17,DWDS_F,Full_Scale,DWDS_F,1.5,NA,site_21,192.61
8/9/17,DWDS_F,Full_Scale,DWDS_F,0.7,NA,site_20,163.92
8/9/17,DWDS_F,Full_Scale,DWDS_F,2.09,NA,site_3,23.31
8/15/17,DWDS_F,Full_Scale,DWDS_F,1.79,NA,site_1,19.35
8/15/17,DWDS_F,Full_Scale,DWDS_F,1.69,NA,site_11,52.5
8/15/17,DWDS_F,Full_Scale,DWDS_F,1.28,NA,site_8,34.97
8/15/17,DWDS_F,Full_Scale,DWDS_F,3.3,NA,site_14,70
8/15/17,DWDS_F,Full_Scale,DWDS_F,1.28,NA,site_9,50.07
8/15/17,DWDS_F,Full_Scale,DWDS_F,1.23,NA,site_12,56.88
1/16/18,DWDS_F,Full_Scale,DWDS_F,0.57,NA,site_15,70
8/15/17,DWDS_F,Full_Scale,DWDS_F,1.61,NA,site_10,50.61
8/15/17,DWDS_F,Full_Scale,DWDS_F,3.2,NA,site_17,70
8/15/17,DWDS_F,Full_Scale,DWDS_F,1.53,NA,site_13,64.36
8/15/17,DWDS_F,Full_Scale,DWDS_F,0.12,NA,site_7,34.69
8/15/17,DWDS_F,Full_Scale,DWDS_F,1.77,NA,site_6,34.06
8/16/17,DWDS_F,Full_Scale,DWDS_F,2.5,NA,site_19,131.08
8/16/17,DWDS_F,Full_Scale,DWDS_F,1.27,NA,site_5,28.98
8/16/17,DWDS_F,Full_Scale,DWDS_F,2.5,NA,site_18,78.9
8/16/17,DWDS_F,Full_Scale,DWDS_F,0.44,NA,site_22,206.3
8/16/17,DWDS_F,Full_Scale,DWDS_F,1.82,NA,site_23,234.39
8/16/17,DWDS_F,Full_Scale,DWDS_F,1.39,NA,site_24,289.38
8/16/17,DWDS_F,Full_Scale,DWDS_F,1.52,NA,site_21,192.61
