,core_id,sample_date,broad_location,sampling_year,location_code,site,disinfectant,wtp,flow_cytometer,regrowth_key,std_note,HPC_label,avg_cells_per_mL_gmean,avg_cells_per_mL_gstd,ICC_to_TCC,ICC_to_TCC_stdev,intra_ATP_gmean_nM,intra_ATP_gstd_nM,total_ATP_gmean_nM,total_ATP_gstd_nM,extra_ATP_gmean_nM,extra_ATP_gstd_nM,HPC_gmean_MPN_per_100mL,HPC_gstd_MPN_per_100mL,HPC_label.1,pH,temp_C,total_Cl2_mg.L,free_Cl2_mg.L,water_age_h,summer_water_age_h
1,SGPI_1,2/9/18,DWDS_F,2018,site_9,other_site_in_DWDS_F,Chloramine,No,Canto,NA,NA,ADL,1721.4856,1.14025872,0.065944281,4.38E-05,3.41E-05,1.600117988,0.000994545,1.070042836,0.00096049,1.189699922,2999.9,1,ADL,8.1,17.8,1.78,0,50.07,NA
2,SGPI_2,2/9/18,DWDS_F,2018,site_1,other_site_in_DWDS_F,Chloramine,No,Canto,NA,NA,NA,862.882012,1.18545664,0.030989776,4.26E-05,1.00E-05,1,0.000661154,1.052940985,0.000701023,1.060273006,275.7030468,1.078833006,NA,8.21,16.5,2.21,0,19.35,NA
3,SGPI_3,2/9/18,DWDS_F,2018,site_7,other_site_in_DWDS_F,Chloramine,No,Canto,NA,NA,NA,31952.1376,1.02142502,0.332592922,1.12E-05,0.001801706,1.449860976,0.005927769,1.011415474,0.004126064,1.038814511,1149.558781,2.167180272,NA,8.02,18.3,0.31,0.06,34.69,NA
4,SGPI_4,2/9/18,DWDS_F,2018,site_15,site_15,Chloramine,No,Canto,NA,NA,NA,7889.97744,1.03119546,0.231859188,3.11E-05,0.003975449,1.583965179,0.006317807,1.100699758,0.002342358,1.139037195,53.93774189,1.030609104,NA,8.15,16.7,1.76,0.03,70,9.43
5,SGPI_5,2/9/18,DWDS_F,2018,site_10,site_10,Chloramine,No,Canto,NA,NA,NA,614.476598,1.2319285,0.027213952,5.46E-05,1.00E-05,1,0.00086386,1.118821923,0.00097981,1.055320792,4.647580015,1.857162678,NA,8.09,16.9,2.16,0.01,50.61,NA
6,SGPI_6,2/9/18,DWDS_F,2018,site_16,other_site_in_DWDS_F,Chloramine,No,Canto,NA,NA,NA,16469.3871,1.02622961,0.468656174,3.37E-05,0.010599329,4.279335718,0.01158027,1.018910478,0.000980942,4.156264624,117.8966497,1.293151047,NA,8.14,17.8,1.32,0.02,70,11.67
7,SGPI_7,2/14/18,DWDS_F,2018,site_15,site_15,Chloramine,No,Canto,NA,NA,BDL,4394.8898,1.65352208,0.054069967,2.04E-05,1.00E-05,1,0.004786995,1.037279626,0.004962584,1.241905313,0.5,1,BDL,8.45,18.2,2.9,0.54,70,9.43
8,SGPI_8,2/14/18,DWDS_F,2018,site_24,site_24,Chloramine,No,Canto,NA,NA,NA,5575.81991,1.0524561,0.341117661,6.85E-05,0.00044455,1.543704087,0.001321447,1.114626673,0.000876897,1.068002663,5.433231083,1.489093615,NA,8.18,20.4,1.23,0.043333333,289.38,NA
9,SGPI_9,2/15/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,NA,NA,NA,4127.28016,1.13722783,0.057610398,1.59E-05,0.000351343,1.503765,0.004450383,1.095947852,0.00409904,1.029663771,NA,NA,NA,8.18,17.7,2.03,0.03,24,NA
10,SGPI_10,2/16/18,DWDS_F,2018,site_10,site_10,Chloramine,No,Canto,NA,NA,NA,4950.92505,1.20577439,0.075404221,1.84E-05,0.001001647,1.481657031,0.004860931,1.029719894,0.003859284,1.065356513,110,1,NA,8.29,21.3,1.98,0.39,50.61,NA
11,SGPI_11,2/19/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,NA,NA,NA,304.366745,1.53208302,0.13000471,0.000659474,1.00E-05,1,0.000203521,1.160284794,0.000327505,1.529026838,NA,NA,NA,8.1,15.5,2.49,0.04,24,NA
12,SGPI_12,3/1/18,DWDS_F,2018,site_15,site_15,Chloramine,No,Canto,NA,NA,NA,21424.4761,1.02838785,0.880199437,5.94E-05,0.005260257,1.563781443,0.008380612,1.085653752,0.003120354,1.125508033,42.72867889,1.045687151,NA,8.015,20.4,0.91,0.11,70,9.43
13,SGPI_13,3/1/18,DWDS_F,2018,site_10,site_10,Chloramine,No,Canto,NA,NA,ADL,1051.10492,1.09016841,0.651943756,0.000795195,6.86E-05,2.033297962,0.000793229,1.562858685,0.000724606,1.300681872,2694.171123,1.164173618,ADL,8.196,23.9,2.07,0.163333333,50.61,NA
14,SGPI_14,3/1/18,DWDS_F,2018,site_24,site_24,Chloramine,No,Canto,NA,NA,NA,15342.0896,1.01983493,0.755064401,6.35E-05,0.001661663,1.597295176,0.002959001,1.241377421,0.001297338,1.005153709,67.76016529,1.519807402,NA,8.094,15.6,1.16,0.116666667,289.38,NA
17,SGPI_17,3/1/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,NA,NA,NA,3362.76836,1.25546698,0.276819173,0.000106242,1.00E-05,1,0.000622835,1.189033249,0.001127593,1.133431251,360.8434564,1.22281943,NA,8.07,14.8,2.2,0.07,24,NA
18,SGPI_18,3/5/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,NA,NA,NA,438.972807,1.47200713,0.472044918,0.001707957,1.00E-05,1,0.000198102,1.397964452,0.00049271,1.835079448,NA,NA,NA,8.17,17.8,2,0.08,24,NA
21,SGPI_21,3/12/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,NA,NA,NA,2053.22521,1.31587836,0.459581506,0.000315898,1.00E-05,1,0.000435047,1.089050243,0.000417682,1.107420386,NA,NA,NA,8.14,18.5,2.38,0.04,24,NA
22,SGPI_22,3/19/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,NA,NA,NA,1915.05925,1.54441254,0.08160935,6.60E-05,1.00E-05,1,0.000340902,1.168123059,0.000403887,1.333261435,NA,NA,NA,8.02,14.3,2.52,0.04,24,NA
23,SGPI_23,3/22/18,DWDS_F,2018,site_15,site_15,Chloramine,No,Canto,NA,NA,NA,59306.899,1.01570283,0.807469213,1.78E-05,0.011149539,1.443526028,0.016062152,1.014696332,0.004912614,1.026722333,59.71959477,1.07613708,NA,7.86,18.2,0.235,0.07,70,9.43
24,SGPI_24,3/22/18,DWDS_F,2018,site_10,site_10,Chloramine,No,Canto,NA,NA,NA,965.152448,1.22758174,0.464752496,0.000672193,1.00E-05,1,0.000696455,1.023784573,0.000749921,1.029783891,34.74910071,1.010226309,NA,8.07,18.1,1.95,0.5,50.61,NA
25,SGPI_25,3/22/18,DWDS_F,2018,site_24,site_24,Chloramine,No,Canto,NA,NA,NA,4097.19329,1.09099488,0.71411454,0.000236081,0.000170489,1.49362358,0.000434769,1.064722839,0.00026428,1.04750975,2419.6,1,NA,7.93,17.1,0.53,0.05,289.38,NA
28,SGPI_28,3/22/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,NA,NA,NA,498.748296,1.37029686,0.393056314,0.001139062,1.00E-05,1,0.000265704,1.092110248,0.000309522,1.00955305,23.29463458,1.030817926,NA,8.01,16.6,2,0.04,24,NA
31,SGPI_31,3/26/18,DWDS_F,2018,site_ut,site_ut,Chloramine,No,Canto,NA,NA,NA,342.792401,1.11100321,0.304340114,0.001038731,1.89E-05,1.486401608,0.000211027,1.036094,0.0001921,1.065785609,6.30634601,1.838439592,NA,7.84,13.7,0.03,0.01,24,NA
